# 7856cb13-55af-4f06-8e86-d134a73bef1b
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.4454782; 0.0298991; 2.0948189; 0.1715881; 6.0000000; 0.0000000
0.1997320; -0.6166276; -0.0730391; 2.1300758; 0.1814470; 6.0000000; 0.0000000
0.3994640; -0.7839377; -0.1821047; 2.1672002; 0.1903297; 6.0000000; 0.0000000
0.5991960; -0.9469785; -0.2974529; 2.2061688; 0.1999235; 6.0000000; 0.0000000
0.7989279; -1.1052803; -0.4192214; 2.2471501; 0.2104930; 6.0000000; 0.0000000
0.9986599; -1.2583210; -0.5475380; 2.2903173; 0.2218749; 6.0000000; 0.0000000
1.1983919; -1.4055171; -0.6825181; 2.3360006; 0.2356226; 6.0000000; 0.0000000
1.3981239; -1.5462030; -0.8242689; 2.3843711; 0.2489157; 6.0000000; 0.0000000
1.5978559; -1.6796633; -0.9728372; 2.4355418; 0.2627819; 6.0000000; 0.0000000
1.7975879; -1.8052411; -1.1281228; 2.4874025; 0.2563753; 6.0000000; 0.0000000
1.9973198; -1.9227283; -1.2896227; 2.5375887; 0.2463293; 6.0000000; 0.0000000
2.1970518; -2.0321209; -1.4567128; 2.5860165; 0.2391232; 6.0000000; -0.5815554
2.3967838; -2.1333864; -1.6288449; 2.6335408; 0.2369239; 5.9806095; -1.5949522
2.5965158; -2.2263621; -1.8055982; 2.6813089; 0.2414825; 5.9271042; -1.5880370
2.7962478; -2.3107197; -1.9866193; 2.7297842; 0.2439852; 5.8733466; -1.6550977
2.9959798; -2.3861561; -2.1715367; 2.7788357; 0.2472452; 5.8167902; -1.7013277
3.1957117; -2.4523773; -2.3599495; 2.8284711; 0.2498772; 5.7580751; -1.7818553
3.3954437; -2.5091136; -2.5514322; 2.8787108; 0.2532548; 5.6959321; -1.8471822
3.5951757; -2.5560974; -2.7455382; 2.9296176; 0.2566390; 5.6307867; -1.9266074
3.7949077; -2.5930707; -2.9417960; 2.9812923; 0.2609143; 5.5620274; -1.9906466
3.9946397; -2.6197690; -3.1397127; 3.0338821; 0.2658153; 5.4900781; -2.0494533
4.1943717; -2.6359242; -3.3387667; 3.0875267; 0.2714775; 5.4150046; -2.0998854
4.3941036; -2.6412655; -3.5384027; -3.1408099; 0.2778951; 5.3369885; -2.1440246
4.5938356; -2.6355200; -3.7380264; -3.0845819; 0.2852395; 5.2561379; -2.1761023
4.7935676; -2.6184176; -3.9369975; -3.0268610; 0.2929028; 5.1727856; -2.2170267
4.9932996; -2.5897094; -4.1346260; -2.9675357; 0.3013059; 5.0864613; -2.2582609
5.1930316; -2.5491630; -4.3301679; -2.9064163; 0.3109175; 4.9969986; -2.2893260
5.3927636; -2.4965559; -4.5228124; -2.8432489; 0.3218340; 4.9046398; -2.3111969
5.5924956; -2.4316774; -4.7116752; -2.7777334; 0.3344154; 4.8096000; -2.3077258
5.7922275; -2.3543351; -4.8957812; -2.7095642; 0.3485674; 4.7127910; -2.2623128
5.9919595; -2.2643641; -5.0740524; -2.6382804; 0.3653885; 4.6159166; -2.2122649
6.1916915; -2.1616329; -5.2452840; -2.5635292; 0.3835532; 4.5191776; -2.1277415
6.3914235; -2.0460964; -5.4081361; -2.4848730; 0.4044305; 4.4241395; -2.0042210
6.5911555; -1.9177941; -5.5611275; -2.4018423; 0.4281636; 4.3327123; -1.6457819
6.7908875; -1.7768608; -5.7025629; -2.3129468; 0.4634085; 4.2561679; -1.0867808
6.9906194; -1.6234417; -5.8303333; -2.2160744; 0.5063484; 4.2048586; -0.4307482
7.1903514; -1.4578880; -5.9419600; -2.1105056; 0.5487714; 4.1843479; -0.0390240
7.3900834; -1.2811828; -6.0348606; -1.9982335; 0.5716514; 4.1824847; -0.0390240
7.5898154; -1.0951490; -6.1071760; -1.8852897; 0.5551012; 4.1806207; 0.2591796
7.7895474; -0.9022457; -6.1586276; -1.7792350; 0.5053489; 4.1929849; 1.0761790
7.9892794; -0.7050833; -6.1903968; -1.6835362; 0.4552848; 4.2439389; 1.7596790
8.1890113; -0.5058926; -6.2041127; -1.5970167; 0.4117811; 4.3259618; 2.2522031
8.3887433; -0.3062322; -6.2014022; -1.5187392; 0.3725715; 4.4287266; 2.6487699
8.5884753; -0.1073211; -6.1838449; -1.4479763; 0.3369399; 4.5466150; 2.9887629
8.7882073; 0.0899596; -6.1529360; -1.3838533; 0.3051478; 4.6760679; 3.2789795
8.9879393; 0.2850018; -6.1100658; -1.3260721; 0.2735990; 4.8140882; 3.6075224
9.1876713; 0.4774115; -6.0566061; -1.2745401; 0.2426592; 4.9615038; 3.9716602
9.3874032; 0.6670088; -5.9938842; -1.2290882; 0.2125768; 5.1188920; 4.3713848
9.5871352; 0.8537761; -5.9231696; -1.1895990; 0.1831429; 5.2867065; 4.8189419
9.7868672; 1.0378343; -5.8456689; -1.1558801; 0.1544668; 5.4657351; 5.2333561
9.9865992; 1.2194178; -5.7625261; -1.1278853; 0.1262965; 5.6537419; 5.2286925
10.1863312; 1.3988460; -5.6748258; -1.1053367; 0.0997462; 5.8355352; 4.8728520
10.3860632; 1.5764962; -5.5835637; -1.0879862; 0.0741023; 6.0000000; 0.0000000
10.5857951; 1.7527798; -5.4896785; -1.0756943; 0.0491965; 6.0000000; 0.0000000
10.7855271; 1.9281339; -5.3940620; -1.0682781; 0.0252341; 6.0000000; 0.0000000
10.9852591; 2.1030069; -5.2975589; -1.0655658; 0.0020742; 6.0000000; 0.0000000
11.1849911; 2.2778423; -5.2009798; -1.0674064; -0.0203754; 6.0000000; 0.0000000
11.3847231; 2.4530712; -5.1051102; -1.0736696; -0.0422363; 6.0000000; 0.0000000
11.5844551; 2.6291039; -5.0107202; -1.0842529; -0.0636574; 6.0000000; 0.0000000
11.7841871; 2.8063231; -4.9185751; -1.0990835; -0.0847907; 6.0000000; 0.0000000
11.9839190; 2.9850772; -4.8294445; -1.1181202; -0.1057967; 6.0000000; 0.0000000
12.1836510; 3.1656736; -4.7441120; -1.1413531; -0.1268322; 6.0000000; 0.0000000
